eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2001,166.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2002,167.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2003,168.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2004,168.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2005,167.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2006,166.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2007,165.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2008,160.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2009,157.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2010,143.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2011,132.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2012,121.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2013,111.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2014,108.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2015,106.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2016,106.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2017,131.9,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2018,135,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2019,140.1,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2020,130.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2021,119.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2022,118,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2023,112.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2000,159.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2001,156.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2002,156.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2003,157,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2004,155.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2005,155.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2006,155.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2007,153.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2008,148.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2009,142.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2010,137.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2011,133.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,ES,Spain,2012,128.7,
